NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"JAMAICA ESTATES          ","02 TWO FAMILY HOMES     ",3,700000,875833,960000,967500
"HOLLISWOOD               ","02 TWO FAMILY HOMES     ",4,530000,718750,697500,950000
"GLEN OAKS                ","02 TWO FAMILY HOMES     ",4,400000,909273,918500,1400093
"BRIARWOOD                ","02 TWO FAMILY HOMES     ",5,495000,715000,725000,875000
"HILLCREST                ","02 TWO FAMILY HOMES     ",5,533000,671200,580000,950000
"DOUGLASTON               ","02 TWO FAMILY HOMES     ",8,880000,986250,950000,1150000
"OAKLAND GARDENS          ","02 TWO FAMILY HOMES     ",10,980000,1353691,1390000,1573287
"ROCKAWAY PARK            ","02 TWO FAMILY HOMES     ",10,400000,584500,593750,750000
"KEW GARDENS              ","02 TWO FAMILY HOMES     ",10,375000,683050,635250,1620000
"LITTLE NECK              ","02 TWO FAMILY HOMES     ",13,780000,1108048,1020000,1800000
"CAMBRIA HEIGHTS          ","02 TWO FAMILY HOMES     ",15,267800,441907,463000,610000
"FRESH MEADOWS            ","02 TWO FAMILY HOMES     ",18,286000,852357,920713,999000
"JAMAICA HILLS            ","02 TWO FAMILY HOMES     ",19,200000,665867,660726,955000
"HAMMELS                  ","02 TWO FAMILY HOMES     ",19,200000,441922,384000,670000
"BELLE HARBOR             ","02 TWO FAMILY HOMES     ",20,367195,720195,748500,999999
"REGO PARK                ","02 TWO FAMILY HOMES     ",22,616888,951090,885000,1350000
"SUNNYSIDE                ","02 TWO FAMILY HOMES     ",23,300000,974252,970000,1500000
"LONG ISLAND CITY         ","02 TWO FAMILY HOMES     ",24,715000,1430584,1275000,3000000
"FOREST HILLS             ","02 TWO FAMILY HOMES     ",27,200000,920693,825000,1865000
"BELLEROSE                ","02 TWO FAMILY HOMES     ",32,360000,589207,550000,935000
"WOODSIDE                 ","02 TWO FAMILY HOMES     ",34,350000,829434,834000,1168750
"JAMAICA                  ","02 TWO FAMILY HOMES     ",44,225000,674130,655000,1400000
"LAURELTON                ","02 TWO FAMILY HOMES     ",47,200000,474445,490000,825000
"HOWARD BEACH             ","02 TWO FAMILY HOMES     ",52,255000,634579,654750,1100000
"WHITESTONE               ","02 TWO FAMILY HOMES     ",59,392148,1038217,988800,1650000
"HOLLIS                   ","02 TWO FAMILY HOMES     ",59,219000,637566,500000,7750000
"FLUSHING-SOUTH           ","02 TWO FAMILY HOMES     ",67,200000,820351,800000,1629200
"MIDDLE VILLAGE           ","02 TWO FAMILY HOMES     ",69,200000,800852,785000,1600000
"FAR ROCKAWAY             ","02 TWO FAMILY HOMES     ",81,200000,428155,421400,825000
"ELMHURST                 ","02 TWO FAMILY HOMES     ",83,333000,919942,850000,4150000
"EAST ELMHURST            ","02 TWO FAMILY HOMES     ",84,200000,680765,706033,1294000
"QUEENS VILLAGE           ","02 TWO FAMILY HOMES     ",84,201000,556052,547950,1250000
"RIDGEWOOD                ","02 TWO FAMILY HOMES     ",86,250000,801265,837500,1750000
"MASPETH                  ","02 TWO FAMILY HOMES     ",87,235000,728486,700000,1450000
"JACKSON HEIGHTS          ","02 TWO FAMILY HOMES     ",89,200000,735635,770000,1350000
"BAYSIDE                  ","02 TWO FAMILY HOMES     ",97,200000,999512,975000,1650000
"ARVERNE                  ","02 TWO FAMILY HOMES     ",100,200000,574753,604850,1221900
"GLENDALE                 ","02 TWO FAMILY HOMES     ",101,225000,691177,700000,1425000
