NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"AIRPORT LA GUARDIA       ","01 ONE FAMILY HOMES     ",2,275500,467750,467750,660000
"LONG ISLAND CITY         ","01 ONE FAMILY HOMES     ",6,600000,903833,810000,1500000
"JAMAICA BAY              ","01 ONE FAMILY HOMES     ",6,258000,371917,358000,462000
"SO. JAMAICA-BAISLEY PARK ","01 ONE FAMILY HOMES     ",262,200000,357033,355500,815000
"HAMMELS                  ","01 ONE FAMILY HOMES     ",9,240000,389556,355000,830000
"ROCKAWAY PARK            ","01 ONE FAMILY HOMES     ",10,227000,482700,462500,695000
"QUEENS VILLAGE           ","01 ONE FAMILY HOMES     ",268,200000,444786,450000,900000
"SUNNYSIDE                ","01 ONE FAMILY HOMES     ",13,300000,858077,877000,1300000
"RIDGEWOOD                ","01 ONE FAMILY HOMES     ",16,340000,733719,780002,1200000
"BRIARWOOD                ","01 ONE FAMILY HOMES     ",17,304000,638824,600000,1100000
"WOODSIDE                 ","01 ONE FAMILY HOMES     ",18,207050,695293,680000,999990
"NEPONSIT                 ","01 ONE FAMILY HOMES     ",21,300000,893500,850000,1750000
"HILLCREST                ","01 ONE FAMILY HOMES     ",24,460000,628375,600000,860000
"JAMAICA HILLS            ","01 ONE FAMILY HOMES     ",24,250000,664445,662500,1098691
"BROAD CHANNEL            ","01 ONE FAMILY HOMES     ",24,206000,368567,360000,760000
"GLEN OAKS                ","01 ONE FAMILY HOMES     ",29,400000,596519,580000,997885
"JAMAICA                  ","01 ONE FAMILY HOMES     ",29,200000,513912,470000,1935000
"HOLLIS HILLS             ","01 ONE FAMILY HOMES     ",29,660000,950483,870000,1475000
"ARVERNE                  ","01 ONE FAMILY HOMES     ",29,201820,360370,310000,1120075
"BAYSIDE                  ","01 ONE FAMILY HOMES     ",287,215000,812673,795000,2300000
"CORONA                   ","01 ONE FAMILY HOMES     ",32,220000,682044,650000,1700000
"KEW GARDENS              ","01 ONE FAMILY HOMES     ",33,272666,836740,730000,1795000
"BELLE HARBOR             ","01 ONE FAMILY HOMES     ",34,263000,784096,757500,1400000
"ASTORIA                  ","01 ONE FAMILY HOMES     ",41,230000,917399,900000,1950000
"HOLLISWOOD               ","01 ONE FAMILY HOMES     ",43,350000,879733,870000,1510000
"BEECHHURST               ","01 ONE FAMILY HOMES     ",47,250000,972943,875000,2250000
"EAST ELMHURST            ","01 ONE FAMILY HOMES     ",50,240000,534666,547000,1100000
"OAKLAND GARDENS          ","01 ONE FAMILY HOMES     ",55,225000,792474,830000,999999
"REGO PARK                ","01 ONE FAMILY HOMES     ",55,250000,841831,800000,1512500
"JAMAICA ESTATES          ","01 ONE FAMILY HOMES     ",63,304000,1074479,1045500,2000000
"DOUGLASTON               ","01 ONE FAMILY HOMES     ",67,300000,1065365,950000,2650000
"ELMHURST                 ","01 ONE FAMILY HOMES     ",68,350000,735570,745000,1200000
"JACKSON HEIGHTS          ","01 ONE FAMILY HOMES     ",70,250000,702612,662500,1510000
"FRESH MEADOWS            ","01 ONE FAMILY HOMES     ",72,200600,830375,834000,1400000
"FAR ROCKAWAY             ","01 ONE FAMILY HOMES     ",75,200000,523860,435000,1400000
"COLLEGE POINT            ","01 ONE FAMILY HOMES     ",86,250000,642324,639000,1450000
"GLENDALE                 ","01 ONE FAMILY HOMES     ",87,200000,597946,610000,995000
"LITTLE NECK              ","01 ONE FAMILY HOMES     ",91,280000,851067,817550,2250000
"CAMBRIA HEIGHTS          ","01 ONE FAMILY HOMES     ",92,200000,389441,395000,750000
"MASPETH                  ","01 ONE FAMILY HOMES     ",95,226500,573773,575000,905000
"BELLEROSE                ","01 ONE FAMILY HOMES     ",116,200000,534688,537500,1300000
"FLORAL PARK              ","01 ONE FAMILY HOMES     ",117,230000,586649,579000,1250000
"OZONE PARK               ","01 ONE FAMILY HOMES     ",118,200000,438840,450000,700000
"WOODHAVEN                ","01 ONE FAMILY HOMES     ",119,200000,460016,460000,960000
"HOWARD BEACH             ","01 ONE FAMILY HOMES     ",121,201002,587520,585000,1425000
"FOREST HILLS             ","01 ONE FAMILY HOMES     ",123,260000,1222817,999000,3350000
"ROSEDALE                 ","01 ONE FAMILY HOMES     ",130,200000,399992,395000,790000
"WHITESTONE               ","01 ONE FAMILY HOMES     ",137,375000,877871,775118,3000000
"SOUTH JAMAICA            ","01 ONE FAMILY HOMES     ",140,200000,362346,369500,697148
"MIDDLE VILLAGE           ","01 ONE FAMILY HOMES     ",142,200000,637200,652500,1085000
"LAURELTON                ","01 ONE FAMILY HOMES     ",154,200000,398706,415000,653000
"RICHMOND HILL            ","01 ONE FAMILY HOMES     ",171,222000,451445,445000,853642
"HOLLIS                   ","01 ONE FAMILY HOMES     ",184,200000,426450,429500,948927
"SOUTH OZONE PARK         ","01 ONE FAMILY HOMES     ",199,215000,427237,417000,845000
"SPRINGFIELD GARDENS      ","01 ONE FAMILY HOMES     ",205,200000,384062,375000,770000
"FLUSHING-SOUTH           ","01 ONE FAMILY HOMES     ",223,200000,726579,710000,1450000
"FLUSHING-NORTH           ","01 ONE FAMILY HOMES     ",484,200000,830278,800000,2400000
"ST. ALBANS               ","01 ONE FAMILY HOMES     ",249,200000,392919,397500,735000
"HOLLIS HILLS             ","02 TWO FAMILY HOMES     ",1,835000,835000,835000,835000
"FLORAL PARK              ","02 TWO FAMILY HOMES     ",2,640000,745000,745000,850000
"BROAD CHANNEL            ","02 TWO FAMILY HOMES     ",3,265000,403333,410000,535000
"JAMAICA BAY              ","02 TWO FAMILY HOMES     ",3,414423,469808,485000,510000
