NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"ARVERNE                  ","01 ONE FAMILY HOMES     ",13,204000,286316,290000,413261
"ROCKAWAY PARK            ","01 ONE FAMILY HOMES     ",7,252500,431643,369000,775000
"WHITESTONE               ","01 ONE FAMILY HOMES     ",134,228000,845448,682500,3563875
"JACKSON HEIGHTS          ","01 ONE FAMILY HOMES     ",81,200000,560620,555000,905000
"LITTLE NECK              ","01 ONE FAMILY HOMES     ",73,300000,774200,743322,1930000
"BROAD CHANNEL            ","01 ONE FAMILY HOMES     ",16,200000,357531,336500,550000
"HILLCREST                ","02 TWO FAMILY HOMES     ",6,290000,558333,557500,820000
"WOODHAVEN                ","02 TWO FAMILY HOMES     ",101,240000,487699,477800,960000
"ELMHURST                 ","02 TWO FAMILY HOMES     ",94,222000,751768,750000,2512375
"BAYSIDE                  ","02 TWO FAMILY HOMES     ",98,335000,919102,910000,1435732
"LAURELTON                ","02 TWO FAMILY HOMES     ",31,200000,392659,435000,562000
"JAMAICA BAY              ","02 TWO FAMILY HOMES     ",3,360000,425000,445000,470000
"OZONE PARK               ","02 TWO FAMILY HOMES     ",136,210000,490613,478000,1500000
"ASTORIA                  ","02 TWO FAMILY HOMES     ",142,200000,831563,837500,2550000
"BELLE HARBOR             ","02 TWO FAMILY HOMES     ",36,210000,634369,632500,1300000
"BRIARWOOD                ","02 TWO FAMILY HOMES     ",9,250000,562000,535000,830000
"HOLLIS                   ","02 TWO FAMILY HOMES     ",69,200000,436398,429000,835000
"BEECHHURST               ","02 TWO FAMILY HOMES     ",3,693000,801000,800000,910000
"CORONA                   ","02 TWO FAMILY HOMES     ",108,200000,645397,629750,1500000
"OAKLAND GARDENS          ","02 TWO FAMILY HOMES     ",11,810000,1022387,988000,1380000
"JAMAICA                  ","02 TWO FAMILY HOMES     ",31,281000,593713,491000,2300000
"ARVERNE                  ","02 TWO FAMILY HOMES     ",62,200000,542176,597283,988057
"HAMMELS                  ","02 TWO FAMILY HOMES     ",9,202803,355756,350000,649000
"WOODSIDE                 ","02 TWO FAMILY HOMES     ",33,276861,728341,720000,1298393
"CAMBRIA HEIGHTS          ","02 TWO FAMILY HOMES     ",8,202100,377638,413000,485000
"FOREST HILLS             ","02 TWO FAMILY HOMES     ",18,275000,1108278,900000,5500000
"JACKSON HEIGHTS          ","02 TWO FAMILY HOMES     ",112,209970,665992,645000,1612184
"ROCKAWAY PARK            ","02 TWO FAMILY HOMES     ",13,300000,463036,485000,635000
"COLLEGE POINT            ","02 TWO FAMILY HOMES     ",82,200000,645510,645000,980000
"EAST ELMHURST            ","02 TWO FAMILY HOMES     ",72,201148,583061,582500,900000
"LITTLE NECK              ","02 TWO FAMILY HOMES     ",15,705000,1004310,990000,1330000
"JAMAICA ESTATES          ","02 TWO FAMILY HOMES     ",1,840000,840000,840000,840000
"KEW GARDENS              ","02 TWO FAMILY HOMES     ",10,400000,669205,634023,1050000
"LONG ISLAND CITY         ","02 TWO FAMILY HOMES     ",17,460000,866513,760000,1650000
"SO. JAMAICA-BAISLEY PARK ","02 TWO FAMILY HOMES     ",91,200000,369387,360000,625286
"BELLEROSE                ","02 TWO FAMILY HOMES     ",21,242250,497526,497000,870000
"SOUTH JAMAICA            ","02 TWO FAMILY HOMES     ",132,200000,408285,435003,621132
"SUNNYSIDE                ","02 TWO FAMILY HOMES     ",22,540500,823335,837389,1125000
"RIDGEWOOD                ","02 TWO FAMILY HOMES     ",85,220000,629447,645000,1275000
"GLENDALE                 ","02 TWO FAMILY HOMES     ",108,200000,587439,596500,890000
"FLUSHING-SOUTH           ","02 TWO FAMILY HOMES     ",61,300000,720026,693000,1260000
"JAMAICA HILLS            ","02 TWO FAMILY HOMES     ",9,350000,586889,617000,790000
"FRESH MEADOWS            ","02 TWO FAMILY HOMES     ",9,282500,705167,770000,850000
"RICHMOND HILL            ","02 TWO FAMILY HOMES     ",199,204000,471966,455000,900000
"BROAD CHANNEL            ","02 TWO FAMILY HOMES     ",1,381600,381600,381600,381600
"DOUGLASTON               ","02 TWO FAMILY HOMES     ",4,665000,866721,902000,997885
"REGO PARK                ","02 TWO FAMILY HOMES     ",21,340000,725190,700000,1150000
"ST. ALBANS               ","02 TWO FAMILY HOMES     ",81,200000,401478,425000,630000
