NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"FLUSHING-NORTH           ","01 ONE FAMILY HOMES     ",446,200000,702007,691000,1880000
"GLEN OAKS                ","01 ONE FAMILY HOMES     ",18,405000,551433,505000,975000
"CORONA                   ","01 ONE FAMILY HOMES     ",49,211100,501537,470000,1550000
"FOREST HILLS             ","01 ONE FAMILY HOMES     ",138,415000,1062573,900000,3000000
"HILLCREST                ","01 ONE FAMILY HOMES     ",24,309270,539678,556000,715000
"HOLLIS                   ","01 ONE FAMILY HOMES     ",145,200000,386925,382900,668000
"SOUTH OZONE PARK         ","01 ONE FAMILY HOMES     ",146,207000,383959,385000,870000
"COLLEGE POINT            ","01 ONE FAMILY HOMES     ",59,200000,550341,540000,1290000
"FLORAL PARK              ","01 ONE FAMILY HOMES     ",90,220000,525323,513000,1100000
"FRESH MEADOWS            ","01 ONE FAMILY HOMES     ",75,240000,795087,723000,5600000
"ASTORIA                  ","01 ONE FAMILY HOMES     ",55,260000,753740,670000,3030000
"OAKLAND GARDENS          ","01 ONE FAMILY HOMES     ",56,298750,768867,744000,1920000
"KEW GARDENS              ","01 ONE FAMILY HOMES     ",25,250000,724424,672095,1900000
"RIDGEWOOD                ","01 ONE FAMILY HOMES     ",18,370000,521288,538000,700000
"BAYSIDE                  ","01 ONE FAMILY HOMES     ",285,220000,738021,698000,1650000
"EAST ELMHURST            ","01 ONE FAMILY HOMES     ",45,210000,458860,440000,960000
"NEPONSIT                 ","01 ONE FAMILY HOMES     ",22,460000,911068,785000,2500000
"REGO PARK                ","01 ONE FAMILY HOMES     ",43,265000,732966,700000,1350000
"JAMAICA HILLS            ","01 ONE FAMILY HOMES     ",21,295000,519069,550000,925000
"MIDDLE VILLAGE           ","01 ONE FAMILY HOMES     ",150,273000,572466,575000,1500000
"OZONE PARK               ","01 ONE FAMILY HOMES     ",94,211050,386625,387000,1200000
"MASPETH                  ","01 ONE FAMILY HOMES     ",81,200000,513003,475000,1770000
"WOODHAVEN                ","01 ONE FAMILY HOMES     ",91,200000,385397,386000,660000
"WOODSIDE                 ","01 ONE FAMILY HOMES     ",22,308000,600010,595000,1150000
"QUEENS VILLAGE           ","01 ONE FAMILY HOMES     ",210,200000,390098,399750,610000
"BELLEROSE                ","01 ONE FAMILY HOMES     ",104,255000,486383,488500,720000
"SO. JAMAICA-BAISLEY PARK ","01 ONE FAMILY HOMES     ",187,200000,309295,310000,675000
"SOUTH JAMAICA            ","01 ONE FAMILY HOMES     ",112,200000,311988,313100,475000
"BELLE HARBOR             ","01 ONE FAMILY HOMES     ",18,350000,639722,607863,1185000
"HAMMELS                  ","01 ONE FAMILY HOMES     ",2,350000,352500,352500,355000
"HOWARD BEACH             ","01 ONE FAMILY HOMES     ",109,221500,547409,540000,999900
"RICHMOND HILL            ","01 ONE FAMILY HOMES     ",146,211000,397989,386500,860000
"JAMAICA BAY              ","01 ONE FAMILY HOMES     ",6,217300,336300,324000,440000
"BRIARWOOD                ","01 ONE FAMILY HOMES     ",22,230000,470021,452500,945000
"JAMAICA                  ","01 ONE FAMILY HOMES     ",28,200000,484316,407500,1875000
"GLENDALE                 ","01 ONE FAMILY HOMES     ",63,202800,500360,499000,750000
"JAMAICA ESTATES          ","01 ONE FAMILY HOMES     ",57,390000,888101,840000,1736968
"ROSEDALE                 ","01 ONE FAMILY HOMES     ",84,200000,371872,357500,659000
"SPRINGFIELD GARDENS      ","01 ONE FAMILY HOMES     ",155,200000,338469,335000,750000
"ST. ALBANS               ","01 ONE FAMILY HOMES     ",232,200000,345101,360000,725000
"SUNNYSIDE                ","01 ONE FAMILY HOMES     ",22,247500,895443,747500,4350000
"FAR ROCKAWAY             ","01 ONE FAMILY HOMES     ",51,200000,474617,389000,1060000
"BEECHHURST               ","01 ONE FAMILY HOMES     ",51,261631,955659,875000,2750000
"CAMBRIA HEIGHTS          ","01 ONE FAMILY HOMES     ",82,200000,352257,369000,535000
"ELMHURST                 ","01 ONE FAMILY HOMES     ",75,244000,624706,618800,1440000
"AIRPORT LA GUARDIA       ","01 ONE FAMILY HOMES     ",1,664000,664000,664000,664000
"HOLLISWOOD               ","01 ONE FAMILY HOMES     ",32,310830,872229,850000,1600000
"DOUGLASTON               ","01 ONE FAMILY HOMES     ",58,315000,887782,802500,2100000
"LAURELTON                ","01 ONE FAMILY HOMES     ",103,200000,360851,370500,749000
"LONG ISLAND CITY         ","01 ONE FAMILY HOMES     ",7,225000,769286,700000,2150000
"HOLLIS HILLS             ","01 ONE FAMILY HOMES     ",34,415000,793051,764000,1375000
"FLUSHING-SOUTH           ","01 ONE FAMILY HOMES     ",209,305000,615966,600000,1258000
