NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"JAMAICA ESTATES          ","01 ONE FAMILY HOMES     ",47,640000,1003431,970000,1636000
"BRIARWOOD                ","01 ONE FAMILY HOMES     ",21,243750,523079,510000,760000
"SO. JAMAICA-BAISLEY PARK ","01 ONE FAMILY HOMES     ",240,201000,347291,342500,1200000
"KEW GARDENS              ","01 ONE FAMILY HOMES     ",26,361000,925596,887750,1828000
"BEECHHURST               ","01 ONE FAMILY HOMES     ",40,350000,884953,834000,2200000
"RIDGEWOOD                ","01 ONE FAMILY HOMES     ",24,350000,576066,557500,810000
"ARVERNE                  ","01 ONE FAMILY HOMES     ",26,200000,431848,306000,941881
"HOWARD BEACH             ","01 ONE FAMILY HOMES     ",116,200000,551668,560000,1323725
"ST. ALBANS               ","01 ONE FAMILY HOMES     ",253,200000,367911,365000,750000
"FLORAL PARK              ","01 ONE FAMILY HOMES     ",94,200000,548113,540000,1300000
"FLUSHING-SOUTH           ","01 ONE FAMILY HOMES     ",222,200000,699734,667250,2550000
"QUEENS VILLAGE           ","01 ONE FAMILY HOMES     ",290,200000,407006,416000,870000
"FAR ROCKAWAY             ","01 ONE FAMILY HOMES     ",67,200000,484629,403719,1260000
"SOUTH JAMAICA            ","01 ONE FAMILY HOMES     ",141,200000,332189,339000,768152
"CAMBRIA HEIGHTS          ","01 ONE FAMILY HOMES     ",83,200000,391657,404000,550000
"HOLLIS                   ","01 ONE FAMILY HOMES     ",187,200000,410458,420000,790000
"LAURELTON                ","01 ONE FAMILY HOMES     ",120,200000,363472,375000,525000
"JAMAICA HILLS            ","01 ONE FAMILY HOMES     ",26,200000,555610,555000,940000
"RICHMOND HILL            ","01 ONE FAMILY HOMES     ",172,200000,408700,400000,890000
"ROSEDALE                 ","01 ONE FAMILY HOMES     ",125,200000,375278,365000,759000
"BAYSIDE                  ","01 ONE FAMILY HOMES     ",290,200000,772907,742500,4030000
"MIDDLE VILLAGE           ","01 ONE FAMILY HOMES     ",161,200000,606218,605000,1250000
"SOUTH OZONE PARK         ","01 ONE FAMILY HOMES     ",150,200000,405732,399495,2800000
"GLEN OAKS                ","01 ONE FAMILY HOMES     ",22,349000,565884,485000,1440000
"COLLEGE POINT            ","01 ONE FAMILY HOMES     ",78,210000,628630,602500,1475000
"LITTLE NECK              ","01 ONE FAMILY HOMES     ",82,455000,861195,801500,2320000
"CORONA                   ","01 ONE FAMILY HOMES     ",39,209000,557086,540000,995000
"DOUGLASTON               ","01 ONE FAMILY HOMES     ",50,625000,974527,940000,1550000
"SUNNYSIDE                ","01 ONE FAMILY HOMES     ",16,550000,838031,857750,1100000
"NEPONSIT                 ","01 ONE FAMILY HOMES     ",22,230000,937818,787000,3000000
"EAST ELMHURST            ","01 ONE FAMILY HOMES     ",47,230000,495150,515000,690000
"ROCKAWAY PARK            ","01 ONE FAMILY HOMES     ",6,230000,530833,505000,1075000
"GLENDALE                 ","01 ONE FAMILY HOMES     ",63,240000,520983,525000,725000
"HOLLIS HILLS             ","01 ONE FAMILY HOMES     ",33,474000,822128,755000,1610000
"JACKSON HEIGHTS          ","01 ONE FAMILY HOMES     ",77,250000,633234,620000,1360000
"REGO PARK                ","01 ONE FAMILY HOMES     ",59,250000,748599,718000,1330000
"HAMMELS                  ","01 ONE FAMILY HOMES     ",4,250000,320198,322895,385000
"JAMAICA ESTATES          ","02 TWO FAMILY HOMES     ",2,640000,807500,807500,975000
"ROCKAWAY PARK            ","02 TWO FAMILY HOMES     ",13,255000,559936,550000,766667
"LONG ISLAND CITY         ","02 TWO FAMILY HOMES     ",17,425000,1446471,1050000,4000000
"FAR ROCKAWAY             ","02 TWO FAMILY HOMES     ",84,200000,493355,405925,5254538
"RICHMOND HILL            ","02 TWO FAMILY HOMES     ",193,200000,516459,522000,860000
"ARVERNE                  ","02 TWO FAMILY HOMES     ",114,200000,591527,655340,1196443
"MIDDLE VILLAGE           ","02 TWO FAMILY HOMES     ",83,200000,674534,700000,1080000
"BROAD CHANNEL            ","02 TWO FAMILY HOMES     ",3,200000,355000,400000,465000
"SO. JAMAICA-BAISLEY PARK ","02 TWO FAMILY HOMES     ",100,200000,447261,450000,715000
"OZONE PARK               ","02 TWO FAMILY HOMES     ",165,200000,506724,502800,900000
"WOODHAVEN                ","02 TWO FAMILY HOMES     ",129,200000,522183,533000,850000
"SOUTH JAMAICA            ","02 TWO FAMILY HOMES     ",141,200000,438572,450000,957749
"SPRINGFIELD GARDENS      ","02 TWO FAMILY HOMES     ",142,200000,465574,477500,831550
"ST. ALBANS               ","02 TWO FAMILY HOMES     ",92,200000,443202,447375,820896
"GLENDALE                 ","02 TWO FAMILY HOMES     ",111,210500,646024,655000,1150950
"FRESH MEADOWS            ","02 TWO FAMILY HOMES     ",12,285000,777309,822000,1120000
"LITTLE NECK              ","02 TWO FAMILY HOMES     ",12,701000,1055069,950000,1670000
"REGO PARK                ","02 TWO FAMILY HOMES     ",24,215374,906481,887500,1460088
"CAMBRIA HEIGHTS          ","02 TWO FAMILY HOMES     ",14,210000,362893,375000,530000
"HAMMELS                  ","02 TWO FAMILY HOMES     ",13,210000,340252,300000,650000
"BAYSIDE                  ","02 TWO FAMILY HOMES     ",103,210000,1011539,982800,3800000
"DOUGLASTON               ","02 TWO FAMILY HOMES     ",4,850000,956250,965000,1045000
"GLEN OAKS                ","02 TWO FAMILY HOMES     ",5,430950,615190,600000,750000
"WOODSIDE                 ","02 TWO FAMILY HOMES     ",34,305000,786237,719000,1720000
"WHITESTONE               ","02 TWO FAMILY HOMES     ",47,305000,931285,942000,1578287
"JACKSON HEIGHTS          ","02 TWO FAMILY HOMES     ",96,230000,689951,700000,1560000
"HOLLISWOOD               ","02 TWO FAMILY HOMES     ",6,390000,735833,775000,1100000
"RIDGEWOOD                ","02 TWO FAMILY HOMES     ",92,315000,739810,750000,1300000
"SUNNYSIDE                ","02 TWO FAMILY HOMES     ",31,206717,814765,850000,1200000
"COLLEGE POINT            ","02 TWO FAMILY HOMES     ",112,400000,724189,729500,1600000
"EAST ELMHURST            ","02 TWO FAMILY HOMES     ",64,229000,610130,600000,1180000
"BELLE HARBOR             ","02 TWO FAMILY HOMES     ",28,325000,692572,655000,1400000
"ELMHURST                 ","02 TWO FAMILY HOMES     ",94,250000,791893,775000,1750000
"KEW GARDENS              ","03 THREE FAMILY HOMES   ",4,320000,777500,795000,1200000
"BELLE HARBOR             ","03 THREE FAMILY HOMES   ",3,725000,753333,735000,800000
"ST. ALBANS               ","03 THREE FAMILY HOMES   ",6,309000,495400,514700,599000
"FLORAL PARK              ","03 THREE FAMILY HOMES   ",1,650000,650000,650000,650000
"ASTORIA                  ","03 THREE FAMILY HOMES   ",52,306197,1004755,977500,1728000
"ROSEDALE                 ","03 THREE FAMILY HOMES   ",1,607000,607000,607000,607000
"LAURELTON                ","03 THREE FAMILY HOMES   ",1,585000,585000,585000,585000
"GLENDALE                 ","03 THREE FAMILY HOMES   ",15,350000,826670,825000,1164000
"HILLCREST                ","03 THREE FAMILY HOMES   ",1,1150000,1150000,1150000,1150000
"ARVERNE                  ","03 THREE FAMILY HOMES   ",9,253500,365677,360000,617500
"FLUSHING-SOUTH           ","03 THREE FAMILY HOMES   ",8,200000,888750,922500,1150000
"WOODSIDE                 ","03 THREE FAMILY HOMES   ",18,200000,869556,911000,1250000
"ROCKAWAY PARK            ","03 THREE FAMILY HOMES   ",3,200000,272740,233220,385000
"JACKSON HEIGHTS          ","03 THREE FAMILY HOMES   ",39,200000,838872,890000,1275000
"FAR ROCKAWAY             ","03 THREE FAMILY HOMES   ",29,200000,385326,350000,970636
"MASPETH                  ","03 THREE FAMILY HOMES   ",30,200000,764934,815000,1258750
"FOREST HILLS             ","03 THREE FAMILY HOMES   ",4,680000,1036250,992500,1480000
"OZONE PARK               ","03 THREE FAMILY HOMES   ",18,413000,654382,685000,830000
"ELMHURST                 ","03 THREE FAMILY HOMES   ",54,210000,938960,973760,1430000
"OAKLAND GARDENS          ","03 THREE FAMILY HOMES   ",2,850000,887500,887500,925000
"LONG ISLAND CITY         ","03 THREE FAMILY HOMES   ",11,700000,1267727,1280000,2050000
"SUNNYSIDE                ","03 THREE FAMILY HOMES   ",8,700000,959875,872500,1450000
"EAST ELMHURST            ","03 THREE FAMILY HOMES   ",14,380000,636080,640000,948500
"BEECHHURST               ","03 THREE FAMILY HOMES   ",1,1244000,1244000,1244000,1244000
"HOWARD BEACH             ","03 THREE FAMILY HOMES   ",5,238177,526635,610000,750000
"WHITESTONE               ","03 THREE FAMILY HOMES   ",5,597868,986574,990000,1370000
"GLEN OAKS                ","03 THREE FAMILY HOMES   ",1,998000,998000,998000,998000
"SOUTH OZONE PARK         ","03 THREE FAMILY HOMES   ",4,240000,536500,575000,756000
"MIDDLE VILLAGE           ","03 THREE FAMILY HOMES   ",18,240000,767861,815000,1200000
"JAMAICA                  ","03 THREE FAMILY HOMES   ",10,410000,895309,900000,2065000
