NEIGHBORHOOD,TYPE_OF_HOME,NUMBER_OF_SALES,LOWEST_SALE_PRICE,AVERAGE_SALE_PRICE,MEDIAN_SALE_PRICE,HIGHEST_SALE_PRICE
"GLEN OAKS                ","02 TWO FAMILY HOMES     ",1,617500,617500,617500,617500
"LONG ISLAND CITY         ","02 TWO FAMILY HOMES     ",31,340000,881598,680000,3054750
"HOLLIS                   ","02 TWO FAMILY HOMES     ",54,212000,403641,410000,655000
"QUEENS VILLAGE           ","02 TWO FAMILY HOMES     ",57,212000,414691,400000,695000
"DOUGLASTON               ","02 TWO FAMILY HOMES     ",9,745000,880822,845000,1100000
"COLLEGE POINT            ","02 TWO FAMILY HOMES     ",100,200000,730745,626500,11100000
"WOODSIDE                 ","02 TWO FAMILY HOMES     ",33,200000,606327,617500,900000
"SOUTH OZONE PARK         ","02 TWO FAMILY HOMES     ",103,200000,416745,410000,713000
"SPRINGFIELD GARDENS      ","02 TWO FAMILY HOMES     ",128,200000,406315,425000,690000
"ROCKAWAY PARK            ","02 TWO FAMILY HOMES     ",10,200000,377926,410000,500000
"GLENDALE                 ","02 TWO FAMILY HOMES     ",75,200000,525839,519000,900000
"JAMAICA HILLS            ","02 TWO FAMILY HOMES     ",17,200000,521058,550000,850000
"SO. JAMAICA-BAISLEY PARK ","02 TWO FAMILY HOMES     ",103,200000,421220,438105,647607
"MASPETH                  ","02 TWO FAMILY HOMES     ",96,200000,528486,520000,982000
"SOUTH JAMAICA            ","02 TWO FAMILY HOMES     ",130,200000,365446,370500,545000
"BELLE HARBOR             ","02 TWO FAMILY HOMES     ",26,200000,554184,552500,795000
"EAST ELMHURST            ","02 TWO FAMILY HOMES     ",65,200000,545788,525000,961370
"FLUSHING-NORTH           ","02 TWO FAMILY HOMES     ",185,200000,774049,780000,1880000
"OZONE PARK               ","02 TWO FAMILY HOMES     ",126,200000,443687,443000,720000
"REGO PARK                ","02 TWO FAMILY HOMES     ",27,200000,772220,740000,1120000
"ARVERNE                  ","02 TWO FAMILY HOMES     ",59,232000,568172,621132,904265
"FAR ROCKAWAY             ","02 TWO FAMILY HOMES     ",43,200001,459890,420000,1155074
"HOLLISWOOD               ","02 TWO FAMILY HOMES     ",1,240963,240963,240963,240963
"FRESH MEADOWS            ","02 TWO FAMILY HOMES     ",8,605000,781828,709000,1150622
"HILLCREST                ","02 TWO FAMILY HOMES     ",6,285000,499250,537500,587000
"ROSEDALE                 ","02 TWO FAMILY HOMES     ",99,210000,444925,437000,650000
"ASTORIA                  ","02 TWO FAMILY HOMES     ",130,210000,734234,747000,1725000
"ST. ALBANS               ","02 TWO FAMILY HOMES     ",88,210000,374761,367000,808000
"HOWARD BEACH             ","02 TWO FAMILY HOMES     ",31,210000,525830,558000,830000
"RICHMOND HILL            ","02 TWO FAMILY HOMES     ",165,210000,445726,450000,2100000
"LITTLE NECK              ","02 TWO FAMILY HOMES     ",10,690000,1005215,967550,1272812
"AIRPORT LA GUARDIA       ","02 TWO FAMILY HOMES     ",1,540000,540000,540000,540000
"ELMHURST                 ","02 TWO FAMILY HOMES     ",89,230000,671506,648000,1150000
"CAMBRIA HEIGHTS          ","02 TWO FAMILY HOMES     ",4,230000,328500,330000,424000
"JAMAICA                  ","02 TWO FAMILY HOMES     ",27,240000,480423,498000,800000
"FOREST HILLS             ","02 TWO FAMILY HOMES     ",26,308096,794764,736500,1950000
"SUNNYSIDE                ","02 TWO FAMILY HOMES     ",23,325000,712009,700000,1058883
"BELLEROSE                ","02 TWO FAMILY HOMES     ",24,325000,512259,507500,832212
"WHITESTONE               ","02 TWO FAMILY HOMES     ",46,250000,753240,774000,1350000
